Tester_ID,Module,Total_TestCases_Executed,Defects_Found,Defect_Severity_Avg,Automation_Coverage,Execution_Hours,Avg_Closure_Time
T188,Login,65,27,1.2,50.2,23.2,16.21
T443,Payments,33,28,3.3,39.3,30.5,11.47
T371,Reports,66,20,2.5,78.9,54.5,15.9
T431,Orders,114,18,1.5,53.5,50.2,14.87
T025,Inventory,24,12,3.3,27.7,46.6,7.71
T304,Orders,64,24,,86.5,83.8,13.84
T328,Reports,96,26,4.2,65.3,5.3,13.92
T024,Dashboard,104,10,3.1,93.2,30.0,9.99
T248,Payments,134,24,2.3,28.5,43.4,17.96
T145,Search,51,16,3.2,40.0,,11.8
T269,Reports,136,7,2.4,49.1,26.5,8.87
T262,Payments,55,3,1.0,86.0,58.6,6.93
T282,Dashboard,48,15,,94.0,118.1,9.79
T436,Dashboard,75,4,4.2,43.2,82.9,5.44
T160,Search,86,4,1.1,22.5,115.5,9.89
T138,Reports,86,28,2.1,53.0,5.4,11.81
T207,Login,45,23,,67.3,75.1,14.33
T370,Notifications,21,16,1.1,14.0,14.2,5.08
T220,Inventory,133,6,3.2,25.1,95.5,11.48
T010,Inventory,144,20,4.4,41.6,118.5,17.17
T024,Reports,107,4,4.6,33.5,,8.07
T023,Search,34,8,4.9,79.3,52.7,5.3
T112,Inventory,23,17,2.7,51.4,111.0,10.95
T484,Reports,40,23,5.0,63.0,86.1,18.03
T376,Payments,98,1,3.1,45.3,116.9,10.08
T241,Login,101,14,2.5,21.5,6.3,9.27
T149,Login,31,7,1.6,46.3,32.1,5.06
T268,Reports,78,13,3.2,66.1,24.3,11.52
T369,Dashboard,110,29,2.0,,10.9,12.16
T052,Reports,126,9,1.4,60.6,103.8,8.77
T011,Reports,148,22,3.8,24.5,19.8,15.42
T080,Reports,69,4,2.0,46.1,7.0,3.66
T265,Inventory,26,26,4.2,24.9,28.9,15.97
T052,Login,113,24,,32.6,5.9,13.39
T300,Inventory,26,6,4.1,22.8,87.9,8.29
T350,Payments,85,4,4.4,18.3,117.9,9.23
T181,Inventory,122,13,1.9,71.6,111.2,12.84
T417,Inventory,50,8,1.4,69.3,6.1,6.32
T453,Search,146,1,3.1,73.6,31.8,10.28
T388,Dashboard,120,23,4.5,95.1,80.7,18.21
T474,Orders,52,25,4.4,45.5,89.1,19.08
T262,Inventory,70,5,3.1,40.4,84.0,9.78
T354,Notifications,148,16,1.5,15.3,113.5,13.34
T243,Inventory,46,14,2.3,64.0,82.1,6.25
T317,Login,45,28,1.8,57.1,33.7,13.95
T150,Orders,135,10,4.9,79.0,90.1,10.84
T051,Dashboard,59,26,3.4,55.3,118.2,20.07
T049,Orders,32,21,3.5,62.9,11.0,11.9
T051,Payments,101,12,2.7,18.6,106.5,12.39
T073,Login,94,7,4.6,49.5,34.6,8.63
T227,Inventory,48,23,4.6,13.2,117.6,16.61
T474,Reports,51,11,4.4,21.1,113.4,11.6
T218,Reports,114,24,4.1,51.3,119.5,16.75
T219,Reports,65,6,5.0,43.6,74.5,9.96
T157,Login,80,3,1.2,12.8,,6.18
T050,Dashboard,76,17,3.9,49.7,58.2,12.32
T230,Payments,78,16,2.2,88.8,24.4,9.93
T420,Payments,126,0,2.8,66.3,90.4,6.54
T207,Orders,55,14,2.1,30.3,107.5,12.47
T010,Orders,82,11,3.9,41.4,45.8,4.42
T174,Search,73,24,3.6,40.4,98.5,15.97
T204,Search,139,20,2.5,94.7,39.0,17.19
T019,Inventory,47,0,1.5,92.7,98.0,3.02
T388,Inventory,66,15,3.0,75.2,81.5,14.06
T162,Payments,93,3,2.2,95.7,118.8,3.6
T078,Dashboard,117,20,3.7,26.5,,14.82
T425,Notifications,96,16,1.5,95.2,91.7,11.74
T263,Login,134,12,1.3,55.0,52.6,15.26
T170,Reports,21,19,2.4,73.2,40.6,11.12
T201,Orders,28,22,4.2,93.3,,12.06
T088,Dashboard,129,7,4.4,79.9,18.6,12.29
T234,Search,107,1,1.8,32.0,109.5,6.64
T348,Orders,116,25,3.8,83.5,86.6,11.97
T447,Login,45,5,4.8,54.4,48.0,5.38
T152,Reports,121,9,,57.9,52.8,10.95
T413,Login,34,15,1.4,74.0,70.0,5.41
T329,Orders,113,8,2.9,53.8,76.7,10.76
T448,Reports,148,29,3.0,78.7,75.2,22.6
T478,Search,60,10,4.1,,78.0,8.52
T051,Reports,56,21,1.2,56.4,89.8,14.52
T303,Inventory,149,11,2.1,25.0,38.5,11.39
T187,Dashboard,63,29,1.6,41.5,86.9,13.17
T316,Payments,24,28,4.0,66.2,48.5,10.23
T363,Login,90,18,2.2,11.5,87.4,8.98
T067,Reports,60,1,4.1,65.5,95.3,9.39
T090,Payments,36,3,2.2,79.9,19.9,6.79
T439,Search,76,25,2.7,77.5,38.7,15.88
T072,Inventory,64,0,4.3,85.8,49.9,3.67
T478,Reports,23,17,3.5,30.1,66.9,9.44
T421,Notifications,126,24,4.5,35.7,88.2,19.07
T485,Login,61,2,3.6,94.3,63.3,6.91
T244,Dashboard,110,19,2.3,70.6,51.7,11.69
T261,Dashboard,90,13,2.5,71.1,9.5,5.73
T091,Reports,146,28,1.3,13.7,6.2,17.14
T253,Notifications,108,24,2.2,65.7,71.2,16.34
T275,Login,132,21,1.3,16.6,32.8,13.36
T263,Notifications,130,7,2.6,16.1,63.0,10.85
T131,Login,23,26,1.6,67.1,66.4,14.39
T363,Reports,140,2,3.4,75.9,6.2,8.07
T454,Inventory,30,8,1.2,70.1,109.4,5.73
T384,Dashboard,96,7,1.9,32.9,47.9,12.26
T268,Dashboard,148,10,2.0,38.8,36.6,11.05
T383,Dashboard,57,12,3.9,59.5,90.0,11.33
T452,Orders,112,21,1.3,89.3,118.3,17.62
T486,Payments,46,18,3.4,48.2,55.6,9.81
T442,Login,23,18,4.9,58.7,85.9,8.87
T141,Dashboard,141,13,3.6,40.3,99.0,21.99
T386,Reports,133,20,1.5,,37.1,12.24
T176,Search,127,3,4.9,53.5,50.7,9.32
T416,Reports,69,18,2.3,,75.9,9.69
T294,Dashboard,108,19,3.9,38.2,78.8,16.52
T090,Login,35,15,3.5,63.8,107.7,12.48
T404,Payments,133,17,1.5,81.5,48.2,14.03
T440,Inventory,138,16,1.1,90.0,88.9,15.27
T026,Payments,106,10,,80.6,73.5,12.67
T269,Dashboard,30,23,4.6,78.3,65.4,11.82
T127,Search,24,18,4.5,,14.8,14.75
T460,Payments,64,28,5.0,26.3,38.1,18.32
T415,Dashboard,21,3,2.6,49.3,115.5,7.95
T188,Inventory,96,28,3.9,24.3,47.0,13.8
T458,Payments,30,9,4.7,,26.1,10.48
T352,Inventory,58,13,2.2,58.7,54.9,10.24
T406,Search,147,27,3.4,73.9,111.2,20.59
T032,Login,60,26,4.8,89.8,8.9,15.84
T019,Inventory,96,27,1.9,97.6,113.0,16.03
T304,Search,138,22,4.4,80.6,11.0,15.34
T474,Login,89,10,1.9,83.0,78.3,13.92
T484,Reports,91,16,3.9,34.8,118.6,10.89
T337,Orders,57,26,1.3,32.2,11.2,14.52
T082,Inventory,102,14,2.9,48.0,16.0,15.1
T216,Inventory,63,19,2.3,77.0,86.9,21.15
T446,Inventory,31,15,3.2,30.3,41.8,10.12
T318,Search,148,4,2.9,89.4,48.7,5.72
T040,Search,68,9,1.9,88.8,47.1,8.08
T209,Dashboard,91,3,1.8,78.6,100.9,11.85
T360,Search,54,18,4.8,63.6,40.2,9.1
T070,Notifications,57,16,2.1,96.0,98.7,8.44
T329,Dashboard,112,24,1.8,59.3,42.9,13.4
T415,Dashboard,102,5,2.5,26.2,80.7,10.15
T360,Reports,143,21,3.0,11.0,65.2,17.73
T371,Reports,33,27,4.3,15.6,97.3,18.64
T320,Dashboard,129,12,3.7,70.1,87.9,12.77
T245,Search,62,7,3.5,16.5,9.8,11.01
T184,Search,126,0,1.4,16.3,28.1,4.54
T176,Reports,77,10,5.0,51.6,33.9,15.35
T129,Search,35,13,3.3,60.1,92.6,12.28
T396,Orders,85,19,3.2,53.1,16.7,15.58
T328,Notifications,105,11,1.2,36.7,98.4,10.42
T062,Inventory,30,11,2.1,40.0,26.6,8.05
T480,Notifications,134,18,1.3,70.2,38.9,12.81
T453,Inventory,104,3,3.8,18.8,20.4,5.4
T423,Notifications,149,15,3.3,46.5,32.2,17.68
T351,Payments,66,7,2.6,26.8,54.0,14.54
T364,Dashboard,97,7,2.1,51.9,95.1,7.45
T402,Reports,56,21,1.7,90.8,104.6,11.62
T073,Dashboard,103,22,4.2,72.2,53.8,17.99
T480,Payments,39,21,3.3,46.7,11.4,10.6
T229,Reports,85,25,3.5,81.4,11.0,11.28
T452,Payments,120,14,4.1,33.0,74.9,16.52
T374,Dashboard,39,25,1.6,,,14.49
T096,Notifications,114,14,2.6,,69.3,13.57
T487,Search,122,19,1.7,60.5,84.0,15.33
T062,Orders,102,28,3.6,79.3,109.3,18.34
T055,Payments,120,15,1.6,79.1,38.3,10.91
T309,Search,78,27,4.7,79.5,76.8,19.13
T270,Search,44,23,1.8,75.5,34.0,12.47
T158,Orders,87,5,4.4,14.5,71.4,8.74
T358,Inventory,116,17,1.6,57.6,20.9,7.93
T338,Login,140,11,4.5,93.7,24.4,11.99
T257,Payments,108,6,1.2,80.3,14.1,1.0
T262,Orders,66,15,4.2,50.9,38.1,12.4
T441,Orders,133,15,4.6,24.7,47.0,15.47
T340,Orders,45,28,1.1,78.0,109.6,12.21
T369,Orders,115,16,1.8,42.3,28.8,4.32
T338,Dashboard,134,10,2.0,24.5,95.0,13.12
T441,Notifications,87,27,1.6,76.4,36.1,15.52
T050,Notifications,140,13,3.0,79.3,116.3,16.27
T313,Dashboard,116,29,4.4,70.7,112.2,15.11
T379,Login,24,4,1.8,32.1,58.9,2.42
T093,Reports,107,23,3.6,73.5,9.2,13.9
T181,Search,105,6,2.5,16.0,109.8,7.62
T251,Search,34,8,4.5,27.3,24.0,6.88
T125,Dashboard,92,1,4.4,99.4,99.7,5.72
T268,Reports,140,4,1.8,96.8,78.1,10.12
T274,Orders,97,9,,89.4,91.9,11.01
T049,Reports,89,5,,77.3,68.0,6.13
T170,Orders,90,29,,37.5,51.9,14.62
T450,Payments,30,11,1.3,59.8,96.9,9.91
T119,Orders,26,29,2.9,52.6,89.2,15.78
T064,Notifications,133,21,3.9,80.6,86.4,18.87
T207,Reports,60,8,2.7,94.5,112.7,7.5
T286,Login,56,29,3.8,17.3,,18.98
T098,Payments,138,4,,93.6,30.3,12.85
T241,Dashboard,86,22,1.2,79.1,48.1,10.6
T363,Search,43,16,3.9,60.6,46.3,8.94
T280,Search,84,24,4.0,41.6,8.3,11.9
T337,Inventory,55,7,3.7,27.9,82.1,11.83
T261,Orders,127,5,3.8,91.4,,6.91
T069,Search,121,15,4.2,60.0,67.5,11.62
T457,Dashboard,86,21,1.5,39.7,41.6,14.21
T259,Dashboard,142,21,3.5,26.5,54.0,15.62
T489,Dashboard,130,9,1.3,97.5,62.2,6.85
T388,Dashboard,72,21,3.1,78.9,31.3,13.94
T277,Reports,41,24,3.3,29.2,48.5,15.06
T213,Payments,128,11,1.0,34.3,74.8,12.97
T348,Notifications,67,6,5.0,15.9,56.6,8.48
T219,Reports,37,26,4.1,25.6,69.1,16.97
T367,Orders,140,20,4.9,38.9,50.4,13.31
T197,Login,141,13,4.9,19.4,78.7,14.5
T095,Payments,39,14,4.1,,68.4,12.43
T102,Notifications,118,8,3.7,73.0,43.3,13.03
T127,Payments,57,7,1.3,67.5,32.7,4.45
T179,Notifications,77,15,4.8,58.0,102.5,14.67
T217,Reports,41,21,2.4,91.7,24.8,13.05
T241,Search,137,11,3.8,53.5,62.9,10.32
T324,Inventory,35,20,3.3,48.8,85.4,14.18
T208,Notifications,66,10,2.7,42.9,61.1,8.22
T233,Payments,76,17,4.8,64.0,107.9,17.21
T309,Orders,107,13,1.4,52.1,92.7,7.57
T093,Payments,123,13,1.6,78.7,19.6,12.16
T124,Inventory,27,25,2.1,32.4,10.5,13.4
T408,Payments,54,27,3.9,60.3,110.4,19.85
T190,Notifications,41,14,4.0,58.6,52.3,8.47
T230,Reports,60,1,2.8,34.6,104.2,5.29
T360,Orders,50,14,1.9,98.8,90.6,10.22
T328,Payments,135,13,3.0,60.4,13.4,9.4
T259,Orders,145,14,4.6,19.9,74.6,13.61
T240,Payments,22,23,4.2,94.3,84.9,14.08
T107,Notifications,107,6,2.4,96.2,51.6,9.63
T287,Login,147,28,1.1,51.7,30.3,16.8
T005,Dashboard,66,17,3.7,40.4,45.5,11.51
T214,Notifications,113,11,2.9,65.2,24.2,8.36
T200,Login,133,8,3.7,66.8,58.6,13.56
T135,Notifications,42,18,2.2,77.9,79.4,13.99
T312,Search,20,17,3.4,86.2,29.2,10.79
T414,Payments,22,11,3.0,43.5,57.3,10.1
T206,Reports,112,14,2.4,45.6,100.2,11.46
T279,Orders,149,8,1.3,88.8,,9.87
T370,Reports,92,10,3.0,61.7,29.0,10.57
T365,Search,105,14,1.7,28.8,83.5,12.56
T263,Payments,73,29,4.7,93.0,82.8,14.43
T208,Search,128,28,1.3,84.5,94.6,17.76
T097,Orders,142,29,2.9,65.2,5.6,19.53
T083,Orders,145,0,3.1,92.6,99.7,16.11
T164,Inventory,39,14,4.8,59.0,107.7,11.45
T484,Search,65,11,2.3,65.2,95.4,8.0
T138,Notifications,143,20,2.0,,28.3,14.85
T405,Dashboard,41,23,,50.3,111.5,16.54
T014,Payments,93,26,1.6,16.0,35.7,16.51
T246,Reports,31,26,1.5,,30.0,10.43
T259,Notifications,46,9,2.5,78.8,,11.73
T500,Inventory,133,8,2.6,80.1,79.1,9.76
T462,Orders,69,28,2.0,24.4,81.3,19.43
T236,Payments,148,0,1.3,18.7,76.5,7.99
T257,Reports,136,26,3.3,41.5,107.7,24.58
T487,Reports,53,3,3.2,24.6,115.3,6.78
T002,Dashboard,42,10,3.0,56.9,94.7,11.14
T306,Payments,90,13,4.4,64.9,18.9,12.35
T150,Orders,98,15,2.5,14.5,69.8,16.49
T065,Reports,93,10,3.0,26.8,12.9,10.31
T413,Orders,24,0,4.8,87.0,89.0,5.41
T219,Dashboard,136,26,4.5,72.9,83.6,17.63
T194,Payments,72,18,3.3,14.2,91.9,11.04
T426,Login,65,5,1.6,93.6,72.4,1.18
T135,Dashboard,110,11,4.2,56.4,50.5,9.57
T319,Search,66,19,4.1,84.0,,16.52
T304,Orders,101,1,2.1,62.5,19.9,3.24
T034,Search,70,7,2.8,96.5,9.4,8.78
T071,Orders,77,4,4.8,60.3,6.1,7.84
T480,Login,31,0,1.1,95.7,16.5,1.0
T399,Login,121,12,4.8,19.3,42.4,16.18
T332,Login,72,12,4.0,57.3,112.8,14.66
T217,Orders,92,28,4.6,78.1,87.7,20.34
T220,Login,41,26,1.4,45.6,24.6,11.56
T371,Payments,42,22,2.0,47.2,22.7,12.61
T319,Inventory,124,6,4.5,88.6,107.0,7.13
T119,Dashboard,39,29,,,108.3,18.93
T361,Inventory,124,22,,20.0,82.5,12.96
T139,Reports,134,26,3.9,51.7,60.7,20.46
T055,Orders,81,17,4.5,61.7,6.6,16.4
T394,Dashboard,78,26,3.1,75.6,74.2,11.76
T165,Login,20,27,3.8,55.0,118.7,18.75
T498,Dashboard,125,4,4.5,52.4,59.8,9.73
T248,Login,72,15,3.7,77.0,114.0,12.29
T466,Orders,40,22,4.6,40.6,92.9,12.87
T448,Payments,69,26,2.6,61.8,11.8,15.32
T319,Notifications,129,3,1.8,86.8,28.0,7.58
T014,Login,54,6,4.5,36.5,98.7,10.29
T204,Reports,25,6,4.6,74.7,107.5,9.14
T234,Reports,138,22,2.9,41.5,79.3,19.88
T092,Login,31,29,1.2,31.0,60.2,18.91
T152,Orders,107,22,4.5,93.6,24.7,14.4
T464,Payments,62,6,4.7,75.4,108.9,8.37
T298,Dashboard,105,28,2.7,72.9,45.6,14.68
T312,Orders,134,11,3.0,69.0,63.3,10.59
T463,Search,95,7,3.8,13.1,13.1,7.36
T372,Inventory,101,22,1.7,98.2,89.7,14.68
T312,Login,36,18,1.6,,80.4,9.55
T187,Payments,37,6,1.6,99.5,9.6,3.2
T405,Notifications,112,29,1.1,46.1,69.6,16.01
T277,Orders,88,4,4.7,56.7,77.2,12.66
T343,Dashboard,146,9,4.5,66.6,30.5,9.63
T314,Reports,51,16,2.7,93.1,73.1,8.24
T016,Dashboard,102,7,2.8,11.1,47.0,9.73
T154,Dashboard,78,14,3.9,43.8,111.2,14.58
T453,Reports,110,5,2.5,39.2,12.9,5.7
T469,Login,144,11,4.8,69.6,11.0,16.49
T167,Orders,121,24,3.1,55.0,,15.8
T451,Reports,40,14,1.8,86.4,82.7,11.78
T416,Search,107,23,4.7,81.6,107.0,16.54
T394,Payments,92,29,4.7,35.1,48.2,16.29
T356,Notifications,73,27,3.6,64.7,34.6,12.85
T052,Search,28,0,4.2,68.1,72.7,7.62
T325,Search,49,3,3.4,91.8,57.0,9.69
T033,Dashboard,69,18,3.6,58.4,51.3,6.41
T222,Dashboard,55,8,1.8,51.5,7.3,11.23
T310,Payments,130,0,1.3,36.2,29.3,1.0
T332,Search,35,23,3.9,17.1,77.6,12.92
T352,Inventory,91,26,3.5,40.8,33.4,12.83
T431,Reports,71,0,4.7,36.1,53.1,6.75
T120,Dashboard,65,18,2.6,46.6,6.1,12.69
T073,Orders,103,16,2.8,66.4,87.1,13.76
T060,Orders,110,12,1.5,16.9,40.5,7.25
T324,Notifications,122,18,1.0,73.4,93.0,15.75
T410,Search,98,4,1.1,46.0,38.9,5.48
T313,Search,71,5,3.4,79.0,101.2,4.88
T258,Notifications,113,9,2.6,94.0,65.8,10.22
T109,Notifications,31,9,3.7,54.3,25.3,6.45
T373,Notifications,74,6,2.7,23.9,64.0,7.12
T195,Search,44,27,1.1,,119.1,13.37
T351,Inventory,36,11,2.3,79.8,66.1,9.68
T108,Search,122,6,3.3,62.1,102.5,12.77
T109,Dashboard,36,13,1.1,37.4,51.6,10.73
T152,Orders,88,2,4.9,86.2,62.0,9.26
T372,Login,113,14,3.3,79.1,62.7,14.74
T494,Notifications,97,29,3.9,51.8,50.6,15.68
T379,Orders,77,26,2.5,61.5,24.6,17.65
T300,Search,49,19,4.5,42.4,,10.45
T150,Reports,91,12,3.3,62.9,90.2,10.97
T262,Reports,63,15,3.8,97.7,16.9,8.66
T397,Payments,39,19,4.7,38.6,84.4,14.08
T105,Login,106,4,2.2,22.0,49.1,8.54
T452,Inventory,149,29,4.3,20.8,106.7,20.36
T020,Orders,35,28,3.2,64.1,13.4,14.06
T110,Payments,58,5,4.7,80.6,51.0,6.77
T345,Inventory,97,1,1.5,38.1,117.7,6.13
T395,Notifications,22,26,4.7,21.0,14.9,13.98
T238,Payments,72,5,2.5,15.1,113.7,7.41
T456,Login,30,5,3.1,91.9,20.3,6.66
T166,Inventory,98,20,4.3,38.1,119.6,19.57
T108,Notifications,35,14,3.7,32.6,17.6,11.12
T129,Dashboard,29,17,2.2,28.7,104.7,9.86
T295,Login,118,29,4.8,18.9,72.8,19.64
T500,Search,56,6,3.5,,117.5,4.2
T300,Inventory,45,9,3.2,77.1,33.1,9.68
T491,Dashboard,59,25,1.2,98.2,80.1,12.03
T401,Search,75,28,2.6,78.3,47.3,15.19
T139,Reports,29,3,4.0,74.1,29.4,9.66
T205,Reports,73,25,2.6,78.6,6.6,15.5
T171,Inventory,104,12,3.5,58.2,12.7,10.21
T409,Dashboard,132,9,3.6,46.3,99.2,14.16
T365,Inventory,90,7,3.0,12.8,65.6,11.22
T430,Inventory,94,7,4.1,40.6,14.8,7.61
T363,Reports,143,12,2.6,,8.2,12.13
T252,Search,41,8,1.4,86.4,102.6,3.28
T141,Dashboard,136,17,4.9,54.1,116.9,13.97
T387,Payments,115,1,,15.0,35.6,8.75
T035,Notifications,87,4,3.5,51.0,101.3,9.9
T235,Search,70,26,2.7,34.0,32.3,17.59
T337,Dashboard,37,23,1.7,60.0,102.7,14.69
T249,Login,78,27,3.2,54.8,58.9,18.06
T151,Login,116,22,2.0,85.2,117.6,14.45
T215,Notifications,56,25,2.8,96.5,111.2,14.93
T480,Inventory,20,2,2.0,29.8,112.9,8.12
T447,Search,127,7,3.3,69.4,90.3,10.6
T127,Notifications,122,26,1.1,,29.8,13.9
T300,Dashboard,103,6,3.1,42.1,93.4,8.32
T059,Dashboard,146,11,3.4,93.8,106.4,13.78
T478,Orders,99,23,2.4,31.9,88.2,14.74
T084,Inventory,46,6,3.0,23.2,46.6,8.3
T366,Inventory,79,9,3.1,79.2,103.0,10.44
T030,Payments,89,15,3.9,72.4,21.0,12.24
T004,Notifications,83,26,1.2,54.6,66.9,13.35
T097,Payments,140,1,3.4,94.8,90.5,11.16
T155,Search,72,11,4.5,69.7,64.9,13.38
T047,Reports,136,1,4.1,72.5,97.8,13.66
T204,Notifications,142,11,3.2,17.6,35.1,12.5
T493,Inventory,43,12,1.7,53.0,51.8,8.38
T230,Search,58,13,2.7,90.0,9.2,10.4
T085,Payments,127,24,1.7,,52.6,14.37
T345,Login,88,6,4.7,67.5,38.1,10.94
T336,Orders,50,16,2.3,63.0,117.8,11.22
T386,Orders,57,21,1.8,23.4,100.7,17.84
T361,Orders,110,14,3.9,86.5,37.4,11.94
T206,Dashboard,141,0,1.1,65.5,22.9,7.46
T234,Inventory,141,23,2.4,,57.4,18.45
T437,Inventory,114,24,2.5,39.7,101.3,13.53
T274,Payments,128,2,4.5,24.6,83.8,9.24
T236,Notifications,40,5,4.5,79.4,6.8,1.0
T160,Notifications,37,18,3.1,17.6,,11.18
T444,Search,144,11,1.9,68.4,16.9,7.21
T007,Dashboard,22,10,3.6,60.8,14.4,4.98
T279,Search,67,18,1.2,83.6,73.9,12.21
T065,Login,48,5,3.9,29.2,114.5,7.42
T104,Notifications,46,11,2.8,14.1,109.1,11.17
T205,Dashboard,144,18,2.7,96.3,75.3,14.0
T050,Login,92,17,2.6,19.6,72.2,13.59
T355,Payments,66,13,1.8,69.0,61.1,5.06
T351,Dashboard,139,10,4.3,43.7,26.4,9.28
T352,Search,128,14,3.4,36.0,105.5,12.12
T371,Notifications,107,2,3.1,62.0,,7.95
T249,Notifications,29,17,1.9,45.4,7.3,6.23
T235,Search,35,1,,50.8,118.8,4.53
T180,Login,22,23,3.4,37.4,111.7,17.21
T161,Payments,40,28,1.5,30.4,119.8,15.94
T253,Search,131,29,2.8,53.9,91.4,17.45
T292,Notifications,83,24,2.3,57.9,54.7,14.27
T487,Notifications,58,28,1.2,31.1,,9.2
T039,Inventory,114,3,,21.5,22.0,8.56
T303,Dashboard,139,24,1.9,88.5,76.4,17.27
T052,Notifications,147,14,2.2,23.0,29.3,14.74
T392,Login,35,5,4.0,33.4,62.9,2.97
T492,Notifications,43,4,1.1,55.3,40.8,1.0
T037,Login,38,6,1.3,36.4,114.2,7.53
T103,Login,27,0,4.8,73.8,62.8,3.19
T310,Payments,64,16,1.4,42.9,103.7,9.77
T419,Search,79,14,1.4,73.0,79.7,12.75
T429,Orders,41,21,3.8,24.5,40.9,9.7
T361,Dashboard,26,27,3.2,35.5,27.0,19.66
T350,Login,146,18,2.3,97.0,85.1,10.47
T143,Inventory,86,13,,78.2,112.3,6.44
T474,Search,33,4,3.1,67.4,30.2,7.05
T452,Inventory,87,4,1.4,16.2,109.6,7.98
T352,Search,29,21,4.5,54.4,19.2,7.34
T032,Login,88,22,4.5,14.6,75.1,20.44
T402,Search,84,22,4.0,63.8,65.5,17.53
T024,Login,96,0,4.3,18.6,70.2,10.27
T486,Search,136,11,4.5,64.1,65.2,10.55
T012,Login,149,25,2.6,35.5,105.6,16.74
T432,Reports,130,28,3.4,24.3,75.9,19.48
T431,Search,73,11,,26.9,92.7,13.19
T440,Dashboard,59,28,1.7,34.3,94.0,15.42
T164,Notifications,138,2,4.4,91.0,90.7,12.12
T440,Inventory,44,7,2.8,57.6,26.1,4.88
T037,Inventory,143,24,1.3,36.7,50.9,8.52
T198,Login,129,9,4.2,99.9,83.2,12.61
T252,Dashboard,114,19,3.0,19.2,100.0,16.13
T451,Payments,120,4,2.7,,25.4,9.18
T030,Dashboard,115,20,1.1,53.8,58.9,12.14
T190,Search,53,12,3.4,38.6,82.9,8.17
T155,Login,81,2,1.2,62.8,58.2,5.52
T112,Notifications,38,17,3.6,49.1,81.4,10.52
T297,Notifications,125,10,3.7,34.5,83.1,13.67
T270,Login,100,16,2.7,39.8,20.6,5.94
T104,Inventory,28,12,1.1,82.4,64.6,4.03
T017,Search,27,5,1.8,16.7,104.2,1.51
T433,Notifications,145,25,4.2,,78.0,24.15
T354,Search,44,19,4.0,10.7,78.5,9.31
T207,Orders,84,24,2.2,38.7,62.3,14.75
T436,Dashboard,146,13,2.5,94.3,16.9,12.32
T390,Payments,113,1,2.0,41.3,25.5,3.95
T277,Search,147,24,3.4,44.9,21.7,18.22
T050,Payments,138,8,2.2,92.2,11.6,11.31
T196,Search,33,0,2.9,26.5,43.6,1.27
T239,Search,143,6,4.7,86.0,8.0,15.77
T312,Orders,99,4,2.6,64.3,119.2,9.26
T442,Payments,56,23,1.6,43.3,100.2,14.54
T079,Dashboard,46,22,3.8,71.9,50.3,11.12
T180,Notifications,144,29,1.5,12.9,,18.14
T062,Notifications,119,14,3.2,53.4,35.4,6.92
T165,Orders,26,14,2.6,50.4,83.5,11.7
T116,Orders,84,19,2.3,13.5,10.3,10.68
T494,Notifications,116,11,3.3,21.8,17.1,11.0
T067,Orders,126,3,3.6,96.7,29.7,7.28
T078,Reports,64,29,2.0,13.9,29.0,18.05
T190,Dashboard,142,10,1.9,18.8,59.1,13.04
T063,Dashboard,72,24,2.2,67.8,89.9,10.88
T060,Notifications,65,10,4.0,85.4,100.8,13.02
T303,Orders,130,18,4.0,69.8,55.3,13.02
T119,Search,61,10,5.0,19.9,7.4,8.96
T039,Notifications,59,1,3.1,89.1,28.4,3.14
T441,Notifications,29,3,3.9,50.1,55.7,9.81
T338,Reports,53,6,1.8,65.3,42.6,3.98
T099,Notifications,61,4,1.5,65.3,111.0,3.56
T450,Notifications,29,19,2.1,61.9,101.4,14.31
T004,Notifications,52,10,3.9,72.7,99.2,9.13
T459,Search,68,6,1.8,23.3,77.4,9.61
T495,Orders,91,26,4.5,35.3,72.7,20.1
T309,Payments,143,9,4.2,47.5,5.2,7.05
T052,Login,93,28,4.9,92.2,105.5,21.36
T067,Inventory,59,11,3.0,42.8,,10.29
T070,Reports,63,27,4.4,15.1,63.3,21.72
T259,Reports,45,13,4.3,50.6,11.2,13.98
T316,Orders,109,25,4.0,48.5,111.4,20.98
T365,Payments,124,10,1.5,13.4,28.6,9.51
T327,Orders,128,25,4.5,16.8,45.3,22.77
T400,Notifications,133,17,,51.2,57.4,17.32
T452,Search,131,2,4.8,56.1,16.6,8.7
T206,Payments,121,22,1.9,90.5,,16.36
T458,Dashboard,28,17,2.1,48.0,53.9,6.34
T275,Dashboard,59,13,3.4,72.2,104.8,11.44
T145,Dashboard,146,8,2.7,97.8,116.4,8.46
T346,Reports,74,11,1.2,83.8,102.6,9.92
T432,Reports,65,28,,50.8,50.9,15.25
T280,Notifications,57,22,2.7,82.9,103.7,10.69
T115,Dashboard,31,16,,39.7,105.4,14.34
T117,Orders,89,12,1.6,82.2,33.0,8.92
T436,Search,127,14,2.6,37.3,108.7,9.72
T488,Payments,130,28,3.2,93.3,83.4,19.01
T120,Search,133,2,4.2,61.1,44.4,9.45
T142,Inventory,103,7,1.7,54.7,86.6,10.19
T262,Inventory,45,8,1.9,20.3,69.6,10.1
T107,Dashboard,86,12,2.2,25.2,24.7,8.45
T424,Login,139,29,4.7,67.6,51.2,18.67
T463,Payments,49,24,,37.3,21.7,19.47
T070,Inventory,107,5,2.7,98.2,78.9,6.36
T312,Reports,95,26,4.6,17.2,8.1,15.25
